,First_Name,Last_Name,Pos,Age,Team
554,Domantas,Sabonis,PF,23,Indiana Pacers
555,Luka,Šamanić,PF,20,San Antonio Spurs
556,JaKarr,Sampson,PF,26,Indiana Pacers
557,Dario,Šarić,PF,25,Phoenix Suns
558,Tomáš,Satoranský,SG,28,Chicago Bulls
559,Player,0,Pos,Age,0
560,Admiral,Schofield,PF,22,Washington Wizards
561,Dennis,Schröder,PG,26,Oklahoma City Thunder
562,Mike,Scott,PF,31,Philadelphia 76ers
563,Thabo,Sefolosha,PF,35,Houston Rockets
564,Collin,Sexton,PG,21,Cleveland Cavaliers
565,Landry,Shamet,SG,22,Los Angeles Clippers
566,Marial,Shayok,SG,24,Philadelphia 76ers
567,Iman,Shumpert,SF,29,Brooklyn Nets
568,Pascal,Siakam,PF,25,Toronto Raptors
569,Chris,Silva,PF,23,Miami Heat
570,Ben,Simmons,PG,23,Philadelphia 76ers
571,Anfernee,Simons,SG,20,Portland Trail Blazers
572,Alen,Smailagić,C,19,Golden State Warriors
573,Marcus,Smart,SG,25,Boston Celtics
574,Dennis,Smith,PG,22,New York Knicks
575,Ish,Smith,PG,31,Washington Wizards
576,J.R.,Smith,SG,34,Los Angeles Lakers
577,Zhaire,Smith,SF,20,Philadelphia 76ers
578,Tony,Snell,SF,28,Detroit Pistons
579,Omari,Spellman,C,22,Golden State Warriors
580,Player,0,Pos,Age,0
581,Max,Strus,SF,23,Chicago Bulls
582,Edmond,Sumner,SG,24,Indiana Pacers
583,Caleb,Swanigan,PF-C,22,0
584,Caleb,Swanigan,C,22,Sacramento Kings
585,Caleb,Swanigan,PF,22,Portland Trail Blazers
586,Jayson,Tatum,PF,21,Boston Celtics
587,Jeff,Teague,PG,31,0
588,Jeff,Teague,PG,31,Minnesota Timberwolves
589,Jeff,Teague,PG,31,Atlanta Hawks
590,Garrett,Temple,SG,33,Brooklyn Nets
591,Daniel,Theis,C,27,Boston Celtics
592,Isaiah,Thomas,PG,30,Washington Wizards
593,Khyri,Thomas,SG,23,Detroit Pistons
594,Lance,Thomas,PF,31,Brooklyn Nets
595,Matt,Thomas,SG,25,Toronto Raptors
596,Tristan,Thompson,PF,28,Cleveland Cavaliers
597,Sindarius,Thornwell,SF,25,New Orleans Pelicans
598,Matisse,Thybulle,SG,22,Philadelphia 76ers
599,Anthony,Tolliver,PF,34,0
600,Anthony,Tolliver,PF,34,Portland Trail Blazers
601,Anthony,Tolliver,PF,34,Sacramento Kings
602,Anthony,Tolliver,PF,34,Memphis Grizzlies
603,Juan,Toscano-Anderson,SG,26,Golden State Warriors
604,Karl-Anthony,Towns,C,24,Minnesota Timberwolves
605,Gary,Trent,SF,21,Portland Trail Blazers
606,Allonzo,Trier,SG,24,New York Knicks
607,P.J.,Tucker,PF,34,Houston Rockets
608,Player,0,Pos,Age,0
609,Rayjon,Tucker,SG,22,Utah Jazz
610,Evan,Turner,SG,31,Atlanta Hawks
611,Myles,Turner,C,23,Indiana Pacers
612,Jarrod,Uthoff,PF,26,0
613,Jarrod,Uthoff,PF,26,Memphis Grizzlies
614,Jarrod,Uthoff,PF,26,Washington Wizards
615,Jonas,Valančiūnas,C,27,Memphis Grizzlies
616,Denzel,Valentine,SF,26,Chicago Bulls
617,Jarred,Vanderbilt,PF,20,0
618,Jarred,Vanderbilt,PF,20,Denver Nuggets
619,Jarred,Vanderbilt,PF,20,Minnesota Timberwolves
620,Fred,VanVleet,SG,25,Toronto Raptors
621,Gabe,Vincent,PG,23,Miami Heat
622,Noah,Vonleh,C,24,0
623,Noah,Vonleh,C,24,Minnesota Timberwolves
624,Noah,Vonleh,C,24,Denver Nuggets
625,Nikola,Vučević,C,29,Orlando Magic
626,Dean,Wade,PF,23,Cleveland Cavaliers
627,Moritz,Wagner,C,22,Washington Wizards
628,Dion,Waiters,SG,28,0
629,Dion,Waiters,SG,28,Miami Heat
630,Dion,Waiters,SG,28,Los Angeles Lakers
631,Kemba,Walker,PG,29,Boston Celtics
632,Lonnie,Walker,SG,21,San Antonio Spurs
633,Tyrone,Wallace,SG,25,Atlanta Hawks
634,Derrick,Walton,PG,24,0
635,Derrick,Walton,PG,24,Los Angeles Clippers
636,Derrick,Walton,PG,24,Detroit Pistons
637,Brad,Wanamaker,PG,30,Boston Celtics
638,T.J.,Warren,SF,26,Indiana Pacers
639,Player,0,Pos,Age,0
640,P.J.,Washington,PF,21,Charlotte Hornets
641,Yuta,Watanabe,SF,25,Memphis Grizzlies
642,Tremont,Waters,PG,22,Boston Celtics
643,Paul,Watson,SF,25,0
644,Paul,Watson,SF,25,Atlanta Hawks
645,Paul,Watson,SF,25,Toronto Raptors
646,Quinndary,Weatherspoon,SG,23,San Antonio Spurs
647,Russell,Westbrook,PG,31,Houston Rockets
648,Coby,White,PG,19,Chicago Bulls
649,Derrick,White,SG,25,San Antonio Spurs
650,Hassan,Whiteside,C,30,Portland Trail Blazers
651,Andrew,Wiggins,SF,24,0
652,Andrew,Wiggins,SF,24,Minnesota Timberwolves
653,Andrew,Wiggins,SF,24,Golden State Warriors
654,Grant,Williams,PF,21,Boston Celtics
655,Johnathan,Williams,PF,24,Washington Wizards
656,Kenrich,Williams,PF,25,New Orleans Pelicans
657,Lou,Williams,PG,33,Los Angeles Clippers
658,Marvin,Williams,PF,33,0
659,Marvin,Williams,PF,33,Charlotte Hornets
660,Marvin,Williams,PF,33,Milwaukee Bucks
661,Robert,Williams,C,22,Boston Celtics
662,Nigel,Williams-Goss,PG,25,Utah Jazz
663,Zion,Williamson,PF,19,New Orleans Pelicans
664,D.J.,Wilson,PF,23,Milwaukee Bucks
665,Justise,Winslow,SG,23,Miami Heat
666,Player,0,Pos,Age,0
667,Christian,Wood,PF,24,Detroit Pistons
668,Delon,Wright,PG,27,Dallas Mavericks
669,Justin,Wright-Foreman,PG,22,Utah Jazz
670,Thaddeus,Young,PF,31,Chicago Bulls
671,Trae,Young,PG,21,Atlanta Hawks
672,Cody,Zeller,C,27,Charlotte Hornets
673,Tyler,Zeller,C,30,San Antonio Spurs
674,Ante,Žižić,C,23,Cleveland Cavaliers
675,Ivica,Zubac,C,22,Los Angeles Clippers
